EventId,EventTemplate,Occurrences
d49b2095,"<*> <*> <*> HTTP/<*>.<*>"" status: <*> len: <*> time: <*>.<*>",26624
c583951f,[instance: <*>] VM <*> (Lifecycle Event),2780
47f4680b,[instance: <*>] During sync_power_state the instance has a pending task <*> Skip.,1077
e9970c47,image <*> at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,2149
f7926c11,"image <*> at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node <*> local, <*> on other nodes sharing this instance storage",2149
758c7b56,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e<*>,2148
3b70c34a,Creating event network-vif-plugged:<*> for instance <*>,556
899b89e9,[instance: <*>] Instance <*> successfully.,1112
055a3b29,[instance: <*>] Took <*>.<*> seconds to <*> the instance on the hypervisor.,1112
9b22184f,[instance: <*>] Took <*>.<*> seconds to build instance.,556
d019cee3,Auditing locally available compute resources for node cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us,378
f436579e,"Total usable vcpus: <*>, total allocated vcpus: <*>",378
52617e8c,Final resource view: name=cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*> phys_disk=15GB <*> total_vcpus=<*> used_vcpus=<*> pci_stats=[],378
335ef092,Compute_service record updated for cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us,378
72f56ddb,[instance: <*>] <*> <*>,1668
fb3c7a48,[instance: <*>] Deleting instance files /var/lib/nova/instances/<*>_del,556
3f256a7a,[instance: <*>] Deletion of /var/lib/nova/instances/<*>_del complete,556
2ae03bfe,[instance: <*>] Took <*>.<*> seconds to deallocate network for instance.,556
c6898c4d,Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e<*>,838
8e372359,Removable base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e<*>,838
427acefb,Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e<*>,555
66acd71e,HTTP exception thrown: No instances found for any event,556
649b9389,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",556
fefa9c58,"[instance: <*>] <*> <*> <*> MB, <*> <*>.<*> MB",1112
fda3d281,[instance: <*>] Total <*> <*> <*> used: <*>.<*> <*>,1112
3f98d481,"[instance: <*>] <*> limit not specified, defaulting to unlimited",1112
2c00d500,Successfully synced instances from host 'cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us'.,80
f95e7506,Running instance usage audit for host cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us from <*>-<*>-<*> <*>:<*>:<*> to <*>-<*>-<*> <*>:<*>:<*>. <*> instances.,7
d24a2528,Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e<*>,283
fd9aba29,The instance sync for host 'cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,109
7d8b6b51,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",14
63e82264,"couldn't obtain the vcpu count from domain id: <*>, exception: Requested operation is not valid: cpu affinity is not supported",2
f5c027b5,Error during ComputeManager._run_image_cache_manager_pass,1
7ca28619,Bad response code while validating token: <*>,1
ab8da5fe,"Identity response: <!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML <*>.<*>//EN"">",1
c28159fd,Unable to validate token: Failed to fetch token data from identity server,1
