seed,class_a,class_b,deviation,case_name,distance_function,runtime,precision,recall,f1,states,status,error_message
28998,0,1,,distance,levenshtein,0.02186417579650879,1.0,1.0,1.0,2,success,
28998,0,2,,distance,levenshtein,0.03968310356140137,1.0,1.0,1.0,2,success,
28998,0,3,,distance,levenshtein,0.006448984146118164,1.0,1.0,1.0,2,success,
28998,0,4,,distance,levenshtein,0.0420680046081543,1.0,1.0,1.0,2,success,
28998,0,5,,distance,levenshtein,0.0484161376953125,1.0,1.0,1.0,2,success,
28998,0,6,,distance,levenshtein,0.005208015441894531,1.0,1.0,1.0,2,success,
28998,1,0,,distance,levenshtein,0.08796501159667969,0.12162162162162163,1.0,0.21686746987951808,2,success,
28998,1,2,,distance,levenshtein,0.20291399955749512,0.3333333333333333,0.7777777777777778,0.4666666666666667,2,success,
28998,1,3,,distance,levenshtein,0.1521589756011963,0.09722222222222222,0.7777777777777778,0.1728395061728395,2,success,
28998,1,4,,distance,levenshtein,0.18438315391540527,0.0,0.0,0.0,2,success,
28998,1,5,,distance,levenshtein,0.13031601905822754,0.0,0.0,0.0,2,success,
28998,1,6,,distance,levenshtein,0.09451699256896973,0.0,0.0,0.0,2,success,
28998,2,0,,distance,levenshtein,0.5606939792633057,0.25,1.0,0.4,2,success,
28998,2,1,,distance,levenshtein,0.47077202796936035,0.11764705882352941,0.8888888888888888,0.2077922077922078,2,success,
28998,2,3,,distance,levenshtein,0.42041707038879395,0.11764705882352941,0.8888888888888888,0.2077922077922078,2,success,
28998,2,4,,distance,levenshtein,0.47467803955078125,0.1044776119402985,0.7777777777777778,0.18421052631578946,2,success,
28998,2,5,,distance,levenshtein,0.5797410011291504,0.1044776119402985,0.7777777777777778,0.18421052631578946,2,success,
28998,2,6,,distance,levenshtein,0.33009910583496094,0.11764705882352941,0.8888888888888888,0.2077922077922078,2,success,
28998,3,0,,distance,levenshtein,0.1170949935913086,0.0,0.0,0.0,2,success,
28998,3,1,,distance,levenshtein,0.21277999877929688,0.12121212121212122,1.0,0.21621621621621623,2,success,
28998,3,2,,distance,levenshtein,0.7641229629516602,0.1076923076923077,0.875,0.1917808219178082,2,success,
28998,3,4,,distance,levenshtein,0.14448785781860352,0.09375,0.75,0.16666666666666666,2,success,
28998,3,5,,distance,levenshtein,0.0861968994140625,0.09375,0.75,0.16666666666666666,2,success,
28998,3,6,,distance,levenshtein,0.10280013084411621,0.0,0.0,0.0,2,success,
28998,4,0,,distance,levenshtein,0.06362295150756836,0.13793103448275862,1.0,0.24242424242424243,2,success,
28998,4,1,,distance,levenshtein,0.05827784538269043,0.13793103448275862,1.0,0.24242424242424243,2,success,
28998,4,2,,distance,levenshtein,0.33194518089294434,0.12280701754385964,0.875,0.2153846153846154,2,success,
28998,4,3,,distance,levenshtein,0.08974409103393555,0.12280701754385964,0.875,0.2153846153846154,2,success,
28998,4,5,,distance,levenshtein,0.16004610061645508,0.10714285714285714,0.75,0.1875,2,success,
28998,4,6,,distance,levenshtein,0.060652971267700195,0.27586206896551724,1.0,0.43243243243243246,2,success,
28998,5,0,,distance,levenshtein,0.1762080192565918,0.14285714285714285,1.0,0.25,2,success,
28998,5,1,,distance,levenshtein,0.18697619438171387,0.14285714285714285,1.0,0.25,2,success,
28998,5,2,,distance,levenshtein,0.9504661560058594,0.12727272727272726,0.875,0.2222222222222222,2,success,
28998,5,3,,distance,levenshtein,0.19683003425598145,0.12727272727272726,0.875,0.2222222222222222,2,success,
28998,5,4,,distance,levenshtein,0.1935720443725586,0.08,0.25,0.12121212121212122,2,success,
28998,5,6,,distance,levenshtein,0.07891297340393066,0.25806451612903225,1.0,0.41025641025641024,2,success,
28998,6,0,,distance,levenshtein,0.12806010246276855,0.8333333333333334,1.0,0.9090909090909091,2,success,
28998,6,1,,distance,levenshtein,0.1643838882446289,0.8181818181818182,0.9,0.8571428571428571,2,success,
28998,6,2,,distance,levenshtein,1.0179870128631592,0.0,0.0,0.0,2,success,
28998,6,3,,distance,levenshtein,0.1244659423828125,0.8333333333333334,1.0,0.9090909090909091,2,success,
28998,6,4,,distance,levenshtein,0.06783390045166016,0.8333333333333334,1.0,0.9090909090909091,2,success,
28998,6,5,,distance,levenshtein,0.23215389251708984,0.8333333333333334,1.0,0.9090909090909091,2,success,
7239,0,1,,distance,levenshtein,0.0034999847412109375,0.7777777777777778,1.0,0.875,2,success,
7239,0,2,,distance,levenshtein,0.05261707305908203,0.7777777777777778,1.0,0.875,2,success,
7239,0,3,,distance,levenshtein,0.018063068389892578,0.7777777777777778,1.0,0.875,2,success,
7239,0,4,,distance,levenshtein,0.028053998947143555,0.7777777777777778,1.0,0.875,2,success,
7239,0,5,,distance,levenshtein,0.03386807441711426,0.7777777777777778,1.0,0.875,2,success,
7239,0,6,,distance,levenshtein,0.009694099426269531,0.7777777777777778,1.0,0.875,2,success,
7239,1,0,,distance,levenshtein,0.03958702087402344,0.12857142857142856,1.0,0.22784810126582278,2,success,
7239,1,2,,distance,levenshtein,0.20009183883666992,0.0,0.0,0.0,2,success,
7239,1,3,,distance,levenshtein,0.0541841983795166,0.07575757575757576,0.5555555555555556,0.13333333333333333,2,success,
