seed,max_sequence_length,case_name,deviation,distance_function,runtime,precision,recall,f1,states,status,error_message
114,15,distance,,levenshtein,631.9868750572205,0.0015873015873015873,0.02265625,0.002966751918158568,2,success,
28998,15,distance,,levenshtein,2459.437882900238,0.00098543742472353,0.014365522745411013,0.0018443567805727752,2,success,
7239,15,distance,,levenshtein,3079.8954000473022,0.0010892652905615163,0.016680567139282735,0.002044989775051125,2,success,
11517,15,distance,,levenshtein,2896.9002010822296,0.00148604766360284,0.020833333333333332,0.0027742101207295145,2,success,
79820,15,distance,,levenshtein,5134.310630083084,0.0013651504395784414,0.019561815336463225,0.002552192333214231,2,success,
9471,15,distance,,levenshtein,2121.3158581256866,0.0015273838097316168,0.022116903633491312,0.0028574344320849068,2,success,
36624,15,distance,,levenshtein,1427.6666810512543,0.00141643059490085,0.020618556701030927,0.0026507620941020544,2,success,
39871,15,distance,,levenshtein,3477.1358919143677,0.0014216195527366176,0.021294021294021293,0.002665299846232701,2,success,
56085,15,distance,,levenshtein,4274.073721885681,0.0010371745182597304,0.015248796147672551,0.001942243802708919,2,success,
89095,15,distance,,levenshtein,1949.0247139930725,0.0015887799265874103,0.02235929067077872,0.002966751918158568,2,success,
98846,15,distance,,levenshtein,1779.6684699058533,0.0012015292190060076,0.017488076311605722,0.0022485690923957483,2,success,
3075,15,distance,,levenshtein,1913.3273358345032,0.0016976998904709747,0.024143302180685357,0.0031723291035611954,2,success,
39161,15,distance,,levenshtein,3148.6853680610657,0.001369412795793164,0.019904458598726114,0.0025625256252562525,2,success,
8988,15,distance,,levenshtein,3452.782086133957,0.001366792411568531,0.01977848101265823,0.0025568908207619537,2,success,
70332,15,distance,,levenshtein,837.8711998462677,0.001748442793137362,0.02549800796812749,0.0032724855550442297,2,success,
51338,15,distance,,levenshtein,2218.9927608966827,0.001252518651636443,0.018867924528301886,0.002349096108671229,2,success,
